wavelength_nm	intensity_arb
304.075	42.9685
304.09	9.01495
304.106	26.3151
304.121	14.5095
304.137	18.2807
304.153	8.6678
304.168	4.08694
304.184	5.20076
304.199	5.00449
304.215	15.5785
304.23	10.1082
304.246	11.9157
304.261	16.8438
304.277	14.7109
304.292	29.584
304.308	5.55729
304.323	11.1038
304.339	2.88418
304.354	12.1258
304.37	36.1359
304.385	6.94979
304.401	10.682
304.416	3.7873
304.432	16.792
304.447	25.6346
304.463	14.878
304.478	4.81688
304.494	7.72839
304.509	12.5599
304.524	17.3106
304.54	9.0553
304.555	9.07888
304.571	14.9404
304.586	9.00042
304.601	3.65841
304.617	6.09339
304.632	22.4132
304.648	19.3413
304.663	15.5566
304.678	5.07198
304.694	23.4453
304.709	5.01288
304.724	18.8799
304.74	21.5579
304.755	13.5343
304.77	7.60703
304.786	1.98515
304.801	6.62763
304.816	4.32135
304.832	24.0995
304.847	26.7494
304.862	26.1365
304.878	15.5007
304.893	3.72237
304.908	14.6804
304.924	20.4145
304.939	15.6664
304.954	19.3266
304.969	5.87461
304.985	14.5554
305	23.0553
305.015	44.6993
305.03	18.5455
305.046	18.9236
305.061	22.3133
305.076	10.5758
305.091	16.0803
305.106	35.0906
305.122	11.7143
305.137	15.299
305.152	14.0481
305.167	6.13016
305.182	7.94578
305.198	17.567
305.213	4.19365
305.228	6.27401
305.243	3.67491
305.258	14.9631
305.273	45.0801
305.289	36.0099
305.304	8.95387
305.319	10.1327
305.334	7.33845
305.349	4.98186
305.364	20.2747
305.379	7.73857
305.395	16.2604
305.41	18.1178
305.425	9.84283
305.44	44.846
305.455	7.54377
305.47	11.3394
305.485	11.5779
305.5	15.8204
305.515	3.56798
305.53	7.8548
305.545	6.89314
305.56	11.2369
305.575	7.34086
305.59	2.78558
305.605	3.18847
305.62	3.74007
305.636	5.20979
305.651	12.7743
305.666	7.67202
305.681	9.92097
305.696	11.4763
305.711	15.1543
305.726	8.85596
305.74	27.4837
305.755	28.742
305.77	2.17621
305.785	4.56161
305.8	13.5732
305.815	0.85534
305.83	0.252244
305.845	7.75305
305.86	19.8619
305.875	7.08227
305.89	7.11378
305.905	3.8566
305.92	3.04711
305.935	20.1223
305.95	8.61176
305.964	25.8468
305.979	14.9142
305.994	9.83764
306.009	4.46609
306.024	3.79174
306.039	28.7717
306.054	2.0602
306.069	21.2447
306.083	17.515
306.098	13.5067
306.113	20.6866
306.128	3.09508
306.143	14.5405
306.158	9.58097
306.172	8.37766
306.187	5.15359
306.202	32.2311
306.217	23.2687
306.232	17.7001
306.246	19.0671
306.261	5.27198
306.276	19.9624
306.291	52.7926
306.308	36.6773
306.324	17.6732
306.34	101.3
306.357	131.418
306.373	125.828
306.389	75.3374
306.406	137.923
306.422	66.7074
306.438	26.3693
306.455	27.0373
306.471	57.078
306.487	163.182
306.503	101.136
306.52	18.4962
306.536	13.9295
306.552	15.5652
306.569	56.3692
306.585	127.161
306.601	53.7991
306.617	72.9054
306.634	45.5244
306.65	49.1789
306.666	28.8472
306.682	17.7939
306.699	31.7721
306.715	140.515
306.731	54.6427
306.747	55.0677
306.763	112.329
306.78	168.031
306.796	74.1675
306.812	76.3496
306.828	48.8483
306.844	87.8544
306.86	164.902
306.877	71.9706
306.893	50.7319
306.909	51.422
306.925	25.4946
306.941	41.721
306.957	119.099
306.974	123.74
306.99	47.5684
307.006	59.0419
307.022	182.811
307.038	137.096
307.054	48.0117
307.07	21.3472
307.086	57.7822
307.102	53.7729
307.118	47.1298
307.135	26.0629
307.151	36.3935
307.167	26.4153
307.183	91.2541
307.199	176.012
307.215	93.7637
307.231	27.1615
307.247	23.2735
307.263	18.6293
307.279	26.9106
