system_id	region_id	source_line_id	air_wavelength_nm	einstein_a_s-1	upper_e_v_cm-1	upper_e_j_cm-1	upper_j	upper_v	lower_v	branch
n2-second-positive	n2-sps-380	172330	382.526608453	1227.5052864	33572.1225	9159.0615	72	2	7	OP23
n2-second-positive	n2-sps-380	105129	382.53306844	491.779181595	31630.588	10059.2735	75	1	4	PQ23
n2-second-positive	n2-sps-380	183585	382.535065739	2655.31999109	35447.3395	3608.741	44	3	9	QP32
n2-second-positive	n2-sps-380	44100	382.539455481	743.738754957	35447.3395	14414.2515	92	3	10	QR23
n2-second-positive	n2-sps-380	62413	382.539565226	3085309.10939	35447.3395	2734.588	38	3	9	R3
n2-second-positive	n2-sps-380	120457	382.542799069	2683.82235698	37230.366	1137.681	24	4	1	RQ32
n2-second-positive	n2-sps-380	101872	382.544328213	4654.7453301	37230.366	1816.1735	32	4	1	Q2
n2-second-positive	n2-sps-380	88461	382.544496493	1132.23193241	33572.1225	4682.107	51	2	6	RQ21
n2-second-positive	n2-sps-380	8696	382.549208386	2328320.86249	37230.366	1127.016	26	4	1	R1
n2-second-positive	n2-sps-380	71781	382.55060588	1705.10122446	35447.3395	3602.254	46	3	9	Q1
n2-second-positive	n2-sps-380	194837	382.553356996	2405709.01063	37230.366	2932.2715	40	4	1	P3
n2-second-positive	n2-sps-380	83182	382.564676503	1361.92628661	37230.366	2925.835	42	4	1	PQ12
n2-second-positive	n2-sps-380	148479	382.570969472	1500.34434558	37230.366	4636.7275	53	4	1	OP12
n2-second-positive	n2-sps-380	146448	382.573750152	1524.04342444	35447.3395	6512.9065	62	3	10	OP12
n2-second-positive	n2-sps-380	116427	382.575184414	1141.02915766	33572.1225	4684.819	50	2	6	RQ32
n2-second-positive	n2-sps-380	99845	382.576699181	3078.15056045	35447.3395	3605.896	45	3	9	Q2
n2-second-positive	n2-sps-380	142389	382.579618984	794.909327436	31630.588	11955.7975	83	1	4	OP12
n2-second-positive	n2-sps-380	55167	382.580584944	14167.899206	37230.366	750.3015	19	4	1	SR32
n2-second-positive	n2-sps-380	170312	382.590369219	784.775301591	31630.588	11958.104	82	1	4	OP23
n2-second-positive	n2-sps-380	174347	382.592513484	1507.84420587	35447.3395	6515.564	61	3	10	OP23
n2-second-positive	n2-sps-380	111179	382.594123528	1434.59029037	37230.366	2929.486	41	4	1	PQ23
n2-second-positive	n2-sps-380	4642	382.594738275	3330684.32944	33572.1225	4678.674	52	2	6	R1
n2-second-positive	n2-sps-380	129759	382.594782186	8316.02647917	37230.366	1819.83	31	4	1	Q3
n2-second-positive	n2-sps-380	176366	382.596319064	1483.25884797	37230.366	4639.57	52	4	1	OP23
n2-second-positive	n2-sps-380	153725	382.600761443	1951.10794251	33572.1225	5814.568	57	2	6	QP21
n2-second-positive	n2-sps-380	86432	382.603293718	637.081037061	31630.588	6947.321	62	1	4	RQ21
n2-second-positive	n2-sps-380	157755	382.608182714	3378.97569428	37230.366	1708.7035	31	4	1	QP21
n2-second-positive	n2-sps-380	36638	382.611432356	2306395.6237	37230.366	1132.9915	25	4	1	R2
n2-second-positive	n2-sps-380	127744	382.612142307	4800.62073651	35447.3395	3608.741	44	3	9	Q3
n2-second-positive	n2-sps-380	18001	382.612998644	5607.94692929	37230.366	1811.4815	33	4	1	QR12
n2-second-positive	n2-sps-380	135061	382.613825708	3394400.28853	33572.1225	7282.459	65	2	7	P1
n2-second-positive	n2-sps-380	92748	382.613869623	302.458323825	37230.366	12708.7745	88	4	2	RQ21
n2-second-positive	n2-sps-380	32608	382.614879671	3329410.80339	33572.1225	4682.107	51	2	6	R2
n2-second-positive	n2-sps-380	151708	382.621035223	1158.44120106	31630.588	8315.6145	68	1	4	QP21
n2-second-positive	n2-sps-380	114410	382.625756321	638.518899836	31630.588	6949.677	61	1	4	RQ32
n2-second-positive	n2-sps-380	181581	382.627000661	1937.53907578	33572.1225	5816.969	56	2	6	QP32
