Date: 17-Jul-2018 19:09:08
Carousel: 18071714
Sample: MUSCOC17
Target: 6
Location: 1
RockType: FOIDITE
Atmosphere: EARTH
DistToTarget: 202
LocationsPerSample: 6
IntegrationsPerLocation: 6
PulsesPerIntegration: 10
LaserAttenuation: 5.00
LaserRepetitionRate: 10
IntegrationTime: 1
IntegrationsAveraged: 1
UVTriggerDelay: 0
VISTriggerDelay: 0
VNIRTriggerDelay: 0
DarkSubtracted: YES
BoxcarSmoothing: 0
PulsesDiscarded: 10
SpectColumnsDiscarded: 1
SaturatedIntegrations: NONE
wave,i1,i2,i3,i4,i5
256.441000,44897087058.477676,34792716377.650002,31559317759.785145,47726310849.109436,45301261885.710793
256.495000,46168883681.364296,35778287203.937981,32453296331.161556,49078250695.043671,46584507540.461349
256.547000,36317158008.930984,37577522104.356613,25814123880.384106,44719585311.768486,37157400739.214729
256.599000,35308527874.623413,34031033398.757629,34882696382.668144,42547663237.862778,33605201906.802372
256.650000,33312069140.476067,32106808347.453815,32910315542.801987,40141880300.935478,31705054749.779732
256.704000,38499596098.013977,36024622063.141647,28187204286.045952,47162005220.067123,41799561477.843758
256.756000,36424284956.595970,31432124074.219864,19783748682.008972,46824620128.212830,45160566500.754135
256.808000,40578503515.972092,40156908674.247711,28773847947.689304,49853590033.908569,49853590033.908569
256.859000,47935593747.753494,43157518874.880981,42759345968.808258,61075299648.152946,49926458278.117058
256.913000,55559392010.881142,55145798521.966393,48114709210.415688,62176887833.517097,63831261789.176102
256.965000,47999168949.003792,56779079843.135628,46326804969.169144,58451443822.970261,62632353772.556839
257.017000,45110880759.313591,42144298830.465210,36634932391.175346,41296703993.651382,53586829127.451851
257.068000,33048200903.399803,32246762552.087982,36253954308.647072,45069776173.077072,44268337821.765251
257.122000,46582743098.982292,48241886063.675217,29576527710.879929,49901029028.368141,53219314957.753967
257.174000,32504154940.085335,30019760931.925949,32504154940.085335,34988548948.244728,44097993644.829155
257.226000,31300359869.723896,32532747352.746201,30889564042.049793,38694684767.857719,46089009665.991547
257.278000,35725627428.481201,41045256329.699532,29178391857.750950,41863660776.040810,44318874115.064651
257.330000,38211511603.457970,41390285532.341820,32251310486.800739,47747833390.109520,46555793166.778076
