element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	2	"200.4956"	"0.0009"	"200.4955"	"0.0003"	"270"	""		"13.671564"	"19.853452"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P<0>).4f"	"2[3]*"	"7/2"	6	8		""	"L5883"	
Mn	2	"200.5165"	"0.0018"	"200.51559"	"0.00012"	"15?"	""		"4.073782"	"10.255052"	"3d5.(4D).4s"	"b 5D"	"3"	"3d5.(4F).4p"	"x 5D*"	"3"	7	7		""	"L562"	
Fe	1	"200.5297"	"0.00024"	"200.529848"	"0.000007"	"2"	""		"0.08728574"	"6.26811563"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s (6D).5p"	"n 7F*"	"2"	5	5		""	"L11631c80"	
Fe	1	"200.5594"	"0.00024"	"200.559229"	"0.000010"	"2"	""		"0.95815732"	"7.13808188"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.4s.(6D).6p"	"5F*"	"2"	7	5		""	"L11631c80"	
Fe	2	"200.5720"	"0.0005"	"200.570839"	"0.000010"	"700d"	""		"2.82812245"	"9.0076893"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3D).4p"	"w 4D*"	"7/2"	8	8		""	"L18349c142"	
Fe	2	"200.5760"	"0.0005"	"200.575734"	"0.000010"	"1300"	""		"2.82812245"	"9.0075386"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3D).4p"	"w 4F*"	"9/2"	8	10		""	"L18349c142"	
Cr	1	"200.576"	"0.005"	"200.57607"	"0.00006"	"10"	""		"1.03000806"	"7.2094140"	"3d4.4s2"	"a 5D"	"4"	"3d4.4s.5p"	"r 5D*"	"3"	9	7		""	"L808"	
Fe	1	"200.62444"	"0.00006"	"200.624516"	"0.000010"	"27"	""		"0.85899575"	"7.03690953"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D<9/2>).4f"	"2[13/2]*"	"6"	11	13		""	"L11631"	
Fe	1	"200.6245"	"0.0003"	"200.623707"	"0.000017"	"4bl"	""		"0.85899575"	"7.0369345"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D).6p"	"7F*"	"4"	11	9		""	"L11631c80"	
Fe	1	"200.6318"	"0.00024"	"200.631673"	"0.000007"	"1"	""		"0.85899575"	"7.03668921"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D<9/2>).4f"	"2[9/2]*"	"5"	11	11		""	"L11631c80"	
S	2	"200.6367"	"0.0007"	"200.6367"	"0.0004"	"2500"	"4.09e+06"	D	"9.914103"	"16.091641"	"3s.3p4"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	2	2		"T3186c85"	"L5883"	
Fe	1	"200.6464"	"0.00024"	"200.646280"	"0.000007"	"1"	""		"0.85899575"	"7.03623952"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D<9/2>).4f"	"2[11/2]*"	"5"	11	11		""	"L11631c80"	
Ti	2	"200.663"	""	"200.663493"	"0.000010"	"1:"	""		"4.00876907"	"10.18548304"	"3d3"	"d 2D1"	"5/2"	"3d2.(3F).4f"	"2F*"	"7/2"	6	8		""	"L5432"	
Cr	2	"200.66374"	"0.00005"	"200.663681"	"0.000013"	"11"	""		"3.10398702"	"9.2806952"	"3d5"	"b 4D"	"1/2"	"3d4.(3D).4p"	"y 2P*"	"1/2"	2	2		""	"L18847"	
Mn	2	"200.6682"	"0.0006"	"200.66804"	"0.00012"	"15"	""		"4.0651815"	"10.241756"	"3d5.(4D).4s"	"b 5D"	"4"	"3d5.(4F).4p"	"x 5D*"	"4"	9	9		""	"L562"	
